,Total,White,Black,Native American,Asian,Hispanic,Other
Total,331449281,191697647,39940338,2251699,19618719,62080044,15860834
AL,5024279,3171351,1288159,23119,75918,264047,201685
AK,733391,421758,20731,108838,43449,49824,88791
AZ,7151502,3816547,317161,263930,248837,2192253,312774
AR,3011524,2063550,449884,20549,51210,256847,169484
CA,39538223,13714587,2119286,156085,5978795,15579652,1989818
CO,5773714,3760663,221310,33768,195220,1263798,298955
CT,3605944,2279232,360937,6404,170459,623293,165619
DE,989948,579851,212960,2521,42398,104290,47928
DC,689545,261771,282066,1277,33192,77652,33587
FL,21538187,11100503,3127052,42169,629626,5697240,941597
GA,10711908,5362156,3278119,20375,475680,1123457,452121
HI,1455271,314365,21877,2321,531558,138923,446227
ID,1839106,1450523,14785,18903,26036,239407,89452
IL,12812508,7472751,1775612,16561,747280,2337410,462894
IN,6785528,5121004,637500,12938,166651,554191,293244
IA,3190369,2638201,129321,9079,75017,215986,122765
KS,2937880,2122575,168352,21921,85225,382603,157204
KY,4505836,3664764,357764,8080,73843,207854,193531
LA,4657757,2596702,1452420,25994,85336,322549,174756
ME,1362359,1228264,25115,7293,16668,26609,58410
MD,6177224,2913782,1795027,12055,417962,729745,308653
MA,7029917,4748897,457055,9387,504900,887685,421993
MI,10077331,7295651,1358458,47406,332288,564422,479106
MN,5706494,4353880,392850,57046,297460,345640,259618
MS,2961279,1639077,1079001,14019,32305,105220,91657
MO,6154913,4663907,692774,23496,132158,303068,339510
MT,1084225,901318,5077,64592,8077,45199,59962
NE,1961504,1484687,94405,15051,52359,234715,80287
NV,3104614,1425952,291960,23392,265991,890257,207062
NH,1377529,1200649,18655,2299,35604,59454,60868
NJ,9288994,4816381,1154142,11206,942921,2002575,361769
NM,2117522,772952,38330,188610,35261,1010811,71558
NY,20201249,10598907,2759022,54908,1916329,3948032,924051
NC,10439388,6312148,2107526,100886,340059,1118596,460173
ND,779094,636160,26152,37350,13050,33412,32970
OH,11799448,8954135,1457180,18949,296604,521308,551272
OK,3959353,2407188,283242,311890,89653,471931,395449
OR,4327256,3036158,78658,42042,191797,588757,389844
PA,13002700,9553417,1368978,15028,506674,1049615,508988
RI,1097379,754050,55386,3513,38367,182101,63962
SC,5118425,3178552,1269031,16591,89394,352838,212019
ND,886667,705583,17441,74595,13332,38741,36975
SD,6910246,4900246,1083772,15539,134302,479187,297200
TN,29145505,11584597,3444712,85425,1561518,11441717,1027536
TX,3271616,2465355,37192,28690,78618,492912,168849
UT,643077,573201,8649,1986,11457,15504,32280
VT,8631393,5058363,1578090,19080,610612,908749,456499
WA,7705281,4918820,296170,91191,723062,1059213,616825
WV,1793716,1598834,64749,3187,14903,34827,77216
WI,5893718,4634018,366508,48384,174267,447290,223251
WY,576851,469664,4735,11781,5037,59046,26588